exposure_mode,species,model,parameter,perturbation,endpoint,baseline,perturbed,abs_change,pct_change,elasticity,censored
absolute,Mtb,two-compartment mechanistic,k_PS,+10%,time_to_LOD_h,280.4723269334657,258.5705646155059,-21.90176231795982,-7.808885303381609,-0.7808885303381602,False
absolute,Mtb,two-compartment mechanistic,k_PS,+10%,MDK99_h,25.354753407436114,25.29458118544762,-0.06017222198849481,-0.23732126683136004,-0.023732126683135985,False
absolute,Mtb,two-compartment mechanistic,k_PS,-10%,log10_drop_240h,3.7817064867196795,3.6713354563786043,-0.1103710303410752,-2.9185509433021344,0.2918550943302135,False
absolute,Mtb,two-compartment mechanistic,k_PS,-10%,time_to_LOD_h,280.4723269334657,306.26822058270795,25.79589364924226,9.19730439408435,-0.919730439408435,False
absolute,Mtb,two-compartment mechanistic,k_PS,-10%,MDK99_h,25.354753407436114,25.419063486826555,0.06431007939044164,0.25364111556131563,-0.025364111556131566,False
absolute,S. aureus,two-compartment mechanistic,r,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
absolute,S. aureus,two-compartment mechanistic,r,+10%,time_to_LOD_h,17.518285831773667,18.994572664686576,1.4762868329129084,8.427119223247878,0.8427119223247872,False
absolute,S. aureus,two-compartment mechanistic,r,+10%,MDK99_h,8.153557482519519,8.942010242320103,0.7884527598005846,9.670046007414005,0.9670046007413997,False
absolute,S. aureus,two-compartment mechanistic,r,-10%,log10_drop_240h,306.0,14.30045210894628,-291.6995478910537,-95.32664963759926,9.532664963759927,False
absolute,S. aureus,two-compartment mechanistic,r,-10%,time_to_LOD_h,17.518285831773667,16.3074683786359,-1.2108174531377678,-6.9117347711136,0.6911734771113601,False
absolute,S. aureus,two-compartment mechanistic,r,-10%,MDK99_h,8.153557482519519,7.495448686950743,-0.6581087955687757,-8.071431359620641,0.8071431359620642,False
absolute,S. aureus,two-compartment mechanistic,Emax_S,+10%,log10_drop_240h,306.0,13.253783444773033,-292.74621655522697,-95.6686982206624,-9.566869822066232,False
absolute,S. aureus,two-compartment mechanistic,Emax_S,+10%,time_to_LOD_h,17.518285831773667,15.093925960778641,-2.4243598709950263,-13.839024515731218,-1.3839024515731206,False
absolute,S. aureus,two-compartment mechanistic,Emax_S,+10%,MDK99_h,8.153557482519519,6.865806030851042,-1.287751451668477,-15.7937373279001,-1.5793737327900086,False
absolute,S. aureus,two-compartment mechanistic,Emax_S,-10%,log10_drop_240h,306.0,15.174670911681684,-290.8253290883183,-95.04095721840469,9.50409572184047,False
absolute,S. aureus,two-compartment mechanistic,Emax_S,-10%,time_to_LOD_h,17.518285831773667,21.13282123588133,3.614535404107663,20.63292857998598,-2.063292857998598,False
absolute,S. aureus,two-compartment mechanistic,Emax_S,-10%,MDK99_h,8.153557482519519,10.041189715811349,1.8876322332918303,23.15102625251298,-2.3151026252512983,False
absolute,S. aureus,two-compartment mechanistic,Emax_P,+10%,log10_drop_240h,306.0,14.199074479350323,-291.8009255206497,-95.35977958191167,-9.535977958191157,False
absolute,S. aureus,two-compartment mechanistic,Emax_P,+10%,time_to_LOD_h,17.518285831773667,17.45426932740807,-0.06401650436559692,-0.36542676024549975,-0.03654267602454995,False
absolute,S. aureus,two-compartment mechanistic,Emax_P,+10%,MDK99_h,8.153557482519519,8.152935217018834,-0.0006222655006844491,-0.007631828217542213,-0.0007631828217542206,False
absolute,S. aureus,two-compartment mechanistic,Emax_P,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
absolute,S. aureus,two-compartment mechanistic,Emax_P,-10%,time_to_LOD_h,17.518285831773667,17.586111751839,0.0678259200653315,0.3871721281217636,-0.03871721281217637,False
absolute,S. aureus,two-compartment mechanistic,Emax_P,-10%,MDK99_h,8.153557482519519,8.154194394192992,0.0006369116734727953,0.007811457450790967,-0.0007811457450790967,False
absolute,S. aureus,two-compartment mechanistic,EC50,+10%,log10_drop_240h,306.0,14.296475152063051,-291.70352484793693,-95.32794929671141,-9.532794929671132,False
absolute,S. aureus,two-compartment mechanistic,EC50,+10%,time_to_LOD_h,17.518285831773667,18.02105146996429,0.502765638190624,2.8699476822026524,0.286994768220265,False
absolute,S. aureus,two-compartment mechanistic,EC50,+10%,MDK99_h,8.153557482519519,8.420872665004422,0.2673151824849036,3.2785098168253906,0.32785098168253873,False
absolute,S. aureus,two-compartment mechanistic,EC50,-10%,log10_drop_240h,306.0,14.245364115791855,-291.75463588420814,-95.34465224974123,9.534465224974124,False
absolute,S. aureus,two-compartment mechanistic,EC50,-10%,time_to_LOD_h,17.518285831773667,17.028316729912465,-0.48996910186120246,-2.7969009443408237,0.27969009443408244,False
absolute,S. aureus,two-compartment mechanistic,EC50,-10%,MDK99_h,8.153557482519519,7.907044902057614,-0.24651258046190438,-3.0233745330232207,0.30233745330232215,False
absolute,S. aureus,two-compartment mechanistic,H,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
absolute,S. aureus,two-compartment mechanistic,H,+10%,time_to_LOD_h,17.518285831773667,16.928580812949736,-0.5897050188239312,-3.3662255798701373,-0.3366225579870134,False
absolute,S. aureus,two-compartment mechanistic,H,+10%,MDK99_h,8.153557482519519,7.839039665957767,-0.31451781656175193,-3.8574305416506762,-0.38574305416506727,False
absolute,S. aureus,two-compartment mechanistic,H,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
absolute,S. aureus,two-compartment mechanistic,H,-10%,time_to_LOD_h,17.518285831773667,18.282883168810947,0.7645973370372801,4.364567083672633,-0.4364567083672634,False
absolute,S. aureus,two-compartment mechanistic,H,-10%,MDK99_h,8.153557482519519,8.557946860419824,0.40438937790030494,4.9596679580327825,-0.49596679580327835,False
absolute,S. aureus,two-compartment mechanistic,k_SP,+10%,log10_drop_240h,306.0,14.565213259552435,-291.4347867404476,-95.24012638576718,-9.52401263857671,False
absolute,S. aureus,two-compartment mechanistic,k_SP,+10%,time_to_LOD_h,17.518285831773667,17.65478263386731,0.13649680209364234,0.7791675704141796,0.0779167570414179,False
absolute,S. aureus,two-compartment mechanistic,k_SP,+10%,MDK99_h,8.153557482519519,8.156421387090036,0.0028639045705176613,0.035124601459640296,0.0035124601459640267,False
absolute,S. aureus,two-compartment mechanistic,k_SP,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
absolute,S. aureus,two-compartment mechanistic,k_SP,-10%,time_to_LOD_h,17.518285831773667,17.38252501640719,-0.13576081536647777,-0.7749663218774667,0.07749663218774669,False
absolute,S. aureus,two-compartment mechanistic,k_SP,-10%,MDK99_h,8.153557482519519,8.150699171058736,-0.0028583114607823035,-0.03505600428905127,0.003505600428905128,False
absolute,S. aureus,two-compartment mechanistic,k_PS,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
absolute,S. aureus,two-compartment mechanistic,k_PS,+10%,time_to_LOD_h,17.518285831773667,17.334053811731483,-0.18423202004218453,-1.0516555204735558,-0.10516555204735548,False
absolute,S. aureus,two-compartment mechanistic,k_PS,+10%,MDK99_h,8.153557482519519,8.151866088373428,-0.0016913941460909854,-0.02074424752284116,-0.0020744247522841144,False
absolute,S. aureus,two-compartment mechanistic,k_PS,-10%,log10_drop_240h,306.0,13.779893657082292,-292.2201063429177,-95.49676677873127,9.549676677873128,False
