exposure_mode,species,endpoint,parameter,S1_first_order,S1_boot_lo,S1_boot_hi,ST_boot_lo,ST_boot_hi,ST_total,interaction_ST_minus_S1,output_variance,n_base_samples
per_mic,S. aureus,MDK99_h,Emax_P,-6.241182775992824e-07,-2.731484248470213e-06,1.0961867971906646e-06,1.012266065176899e-08,5.298874735850027e-08,2.842881590952453e-08,6.525470935088069e-07,85688.44122617009,4096
per_mic,S. aureus,MDK99_h,EC50,7.552272445829169e-15,-7.516593513849542e-15,2.8486297379742094e-14,5.1087581641143655e-26,2.728413105868899e-22,1.0193941483355414e-22,-7.552272343889754e-15,85688.44122617009,4096
per_mic,S. aureus,MDK99_h,H,-0.00014426311797667446,-0.0013467773563097263,0.000794475763654168,0.0004426508012790111,0.0018870365287350622,0.0010132400218698001,0.0011575031398464745,85688.44122617009,4096
per_mic,S. aureus,MDK99_h,k_SP,-4.959077621716784e-07,-2.66944708273335e-06,1.7715389464290266e-06,1.4220785595923748e-08,6.78476142953663e-08,3.690951584901415e-08,5.328172780206926e-07,85688.44122617009,4096
per_mic,S. aureus,MDK99_h,k_PS,8.31755886190588e-07,-1.506618537864328e-06,3.000150819605339e-06,1.2335832873188788e-08,1.331614250233127e-07,6.034934935931862e-08,-7.714065368312694e-07,85688.44122617009,4096
absolute,Mtb,log10_drop_240h,r,0.03858280149648043,-0.04372845307496211,0.12327020730488615,0.03889807453332279,0.042791630375583777,0.04079203144374621,0.0022092299472657798,0.13439148723743197,4096
absolute,Mtb,log10_drop_240h,Emax_S,0.0182326118013669,-0.04709029935295784,0.07962352681105646,0.019621151320296498,0.02201920770826672,0.020778781456246044,0.002546169654879145,0.13439148723743197,4096
absolute,Mtb,log10_drop_240h,Emax_P,0.041878306489041346,-0.04968384741751037,0.13456641439895722,0.041016806564603464,0.04509742484636274,0.04293967890560033,0.0010613724165589866,0.13439148723743197,4096
absolute,Mtb,log10_drop_240h,EC50,0.014871631330943979,-0.03835478844334212,0.07128785170855405,0.014991445723901417,0.016685000160932172,0.015811364583334066,0.0009397332523900879,0.13439148723743197,4096
absolute,Mtb,log10_drop_240h,H,0.004675382232800224,-0.028311600637252254,0.036675866796466304,0.005385898505915164,0.0060915593634415025,0.005734821680712316,0.0010594394479120917,0.13439148723743197,4096
absolute,Mtb,log10_drop_240h,k_SP,0.14123052941150094,-0.017879667096645756,0.3071795467828085,0.13513611614943027,0.14725299722816465,0.1411831833261059,-4.734608539502805e-05,0.13439148723743197,4096
