dataset,organism,state,state_numeric,drug,dose_value,dose_unit,dose_xmic,unit_group,n0_log10,time_days,y_log10,censored,limit_log10,notes,isolate_index,sample_id,mpn_raw,MIC_INH,MIC_RIF,INH-Suceptibility,Time_to_0.4,Time_point,Tolerant_level_D5_15,Tolerant_level_D5_60
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_017_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,17,IR17,230000.0,6.4,0.06,IR,19.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_017_age15d,5.361727836017593,2.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,17,IR17,230.0,6.4,0.06,IR,19.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_017_age15d,5.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,17,IR17,230.0,6.4,0.06,IR,19.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_018_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,18,IR18,230000.0,3.2,0.12,IR,19.0,0M,High,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_018_age15d,5.361727836017593,2.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,18,IR18,2300.0,3.2,0.12,IR,19.0,0M,High,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_018_age15d,5.361727836017593,5.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,18,IR18,23000.0,3.2,0.12,IR,19.0,0M,High,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_019_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,19,IR19,230000.0,6.4,0.25,IR,19.0,0M,Medium,High
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_019_age15d,5.361727836017593,2.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,19,IR19,2300.0,6.4,0.25,IR,19.0,0M,Medium,High
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_019_age15d,5.361727836017593,5.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,19,IR19,2300.0,6.4,0.25,IR,19.0,0M,Medium,High
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_020_age15d,5.785329835010767,0.0,5.785329835010767,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,20,IR20,610000.0,0.4,0.06,IR,19.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_020_age15d,5.785329835010767,2.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,20,IR20,2300.0,0.4,0.06,IR,19.0,0M,Medium,Medium
