deposit,state_label,drug,dose_value,dose_unit,V_mL,plated_volume_uL,H_log10_cells,target_gap_days,required_b_tail_log10_per_day,P_b_tail_exceeds_required,rate_units
era4tb,standard,moxifloxacin,10.0,xMIC,1.0,100.0,1.0,90,0.011111111111111112,0.6980392156862745,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,100.0,2.0,7,0.2857142857142857,0.11372549019607843,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,100.0,2.0,14,0.14285714285714285,0.30196078431372547,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,100.0,2.0,30,0.06666666666666667,0.5607843137254902,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,100.0,2.0,60,0.03333333333333333,0.6784313725490196,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,100.0,2.0,90,0.022222222222222223,0.6901960784313725,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,100.0,3.0,7,0.42857142857142855,0.043137254901960784,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,100.0,3.0,14,0.21428571428571427,0.20784313725490197,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,100.0,3.0,30,0.1,0.4470588235294118,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,100.0,3.0,60,0.05,0.615686274509804,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,100.0,3.0,90,0.03333333333333333,0.6784313725490196,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1000.0,100.0,4.0,7,0.5714285714285714,0.00784313725490196,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1000.0,100.0,4.0,14,0.2857142857142857,0.11372549019607843,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1000.0,100.0,4.0,30,0.13333333333333333,0.34509803921568627,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1000.0,100.0,4.0,60,0.06666666666666667,0.5607843137254902,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1000.0,100.0,4.0,90,0.044444444444444446,0.6392156862745098,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1.0,10.0,2.0,7,0.2857142857142857,0.11372549019607843,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1.0,10.0,2.0,14,0.14285714285714285,0.30196078431372547,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1.0,10.0,2.0,30,0.06666666666666667,0.5607843137254902,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1.0,10.0,2.0,60,0.03333333333333333,0.6784313725490196,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,1.0,10.0,2.0,90,0.022222222222222223,0.6901960784313725,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,10.0,3.0,7,0.42857142857142855,0.043137254901960784,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,10.0,3.0,14,0.21428571428571427,0.20784313725490197,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,10.0,3.0,30,0.1,0.4470588235294118,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,10.0,3.0,60,0.05,0.615686274509804,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,10.0,10.0,3.0,90,0.03333333333333333,0.6784313725490196,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,10.0,4.0,7,0.5714285714285714,0.00784313725490196,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,10.0,4.0,14,0.2857142857142857,0.11372549019607843,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,10.0,4.0,30,0.13333333333333333,0.34509803921568627,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,10.0,4.0,60,0.06666666666666667,0.5607843137254902,log10 per day
era4tb,standard,moxifloxacin,10.0,xMIC,100.0,10.0,4.0,90,0.044444444444444446,0.6392156862745098,log10 per day
