unit_group,time_days,plated_volume_uL,limit_log10,observed_blank,observed_y_log10,predicted_p_blank,mu_median,mu_q05,mu_q95,fold
era4tb_A_INH10x_r1,10.0,10.0,2.0,1,,0.9729314634644477,-0.012797602731689839,-0.7926489127774978,0.594689405911656,in-sample
era4tb_A_INH10x_r1,10.0,10.0,2.0,1,,0.9729314634644477,-0.012797602731689839,-0.7926489127774978,0.594689405911656,in-sample
era4tb_A_INH10x_r1,10.0,2.5,2.6020599913279625,1,,0.9928188950635555,-0.012797602731689839,-0.7926489127774978,0.594689405911656,in-sample
era4tb_A_INH10x_r1,14.0,100.0,1.0,1,,0.8246763033907952,-0.1039804143467502,-1.2750789786079508,0.8043192261651,in-sample
era4tb_A_INH10x_r1,14.0,10.0,2.0,1,,0.9693638879787417,-0.1039804143467502,-1.2750789786079508,0.8043192261651,in-sample
era4tb_A_INH10x_r1,14.0,10.0,2.0,1,,0.9693638879787417,-0.1039804143467502,-1.2750789786079508,0.8043192261651,in-sample
era4tb_A_INH10x_r1,14.0,2.5,2.6020599913279625,1,,0.9914390043519481,-0.1039804143467502,-1.2750789786079508,0.8043192261651,in-sample
era4tb_A_INH10x_r1,21.0,100.0,1.0,1,,0.801615936610262,-0.11339651982663312,-2.4345188929842387,1.0508852329479612,in-sample
era4tb_A_INH10x_r1,21.0,10.0,2.0,1,,0.962255406496048,-0.11339651982663312,-2.4345188929842387,1.0508852329479612,in-sample
era4tb_A_INH10x_r1,21.0,10.0,2.0,1,,0.962255406496048,-0.11339651982663312,-2.4345188929842387,1.0508852329479612,in-sample
era4tb_A_INH10x_r1,21.0,2.5,2.6020599913279625,1,,0.9892286738939894,-0.11339651982663312,-2.4345188929842387,1.0508852329479612,in-sample
era4tb_A_INH10x_r2,1.0,100.0,1.0,0,2.38021124171161,0.023785335575493245,2.6445889297237177,2.3281353547540506,3.112588418507332,in-sample
era4tb_A_INH10x_r2,1.0,10.0,2.0,0,2.0,0.14119288569949937,2.6445889297237177,2.3281353547540506,3.112588418507332,in-sample
era4tb_A_INH10x_r2,1.0,10.0,2.0,1,,0.14119288569949937,2.6445889297237177,2.3281353547540506,3.112588418507332,in-sample
era4tb_A_INH10x_r2,1.0,2.5,2.6020599913279625,0,3.30102999566398,0.39423990382461427,2.6445889297237177,2.3281353547540506,3.112588418507332,in-sample
era4tb_A_INH10x_r2,2.0,100.0,1.0,0,1.60205999132796,0.11260718500363441,1.7406248092746883,1.436764396524422,2.023158600293511,in-sample
era4tb_A_INH10x_r2,2.0,10.0,2.0,1,,0.5573457557093435,1.7406248092746883,1.436764396524422,2.023158600293511,in-sample
era4tb_A_INH10x_r2,2.0,10.0,2.0,1,,0.5573457557093435,1.7406248092746883,1.436764396524422,2.023158600293511,in-sample
era4tb_A_INH10x_r2,2.0,2.5,2.6020599913279625,1,,0.8159337535955725,1.7406248092746883,1.436764396524422,2.023158600293511,in-sample
era4tb_A_INH10x_r2,3.0,100.0,1.0,0,1.30102999566398,0.21501662776438274,1.432185639603174,1.1342618530232618,1.6751024929712015,in-sample
era4tb_A_INH10x_r2,3.0,10.0,2.0,1,,0.7102246200406038,1.432185639603174,1.1342618530232618,1.6751024929712015,in-sample
era4tb_A_INH10x_r2,3.0,10.0,2.0,1,,0.7102246200406038,1.432185639603174,1.1342618530232618,1.6751024929712015,in-sample
era4tb_A_INH10x_r2,3.0,2.5,2.6020599913279625,0,2.90308998699194,0.8976600413069064,1.432185639603174,1.1342618530232618,1.6751024929712015,in-sample
era4tb_A_INH10x_r2,7.0,100.0,1.0,0,1.0,0.8005681305367668,0.19275067794294243,-0.5841930326392102,0.38140868766355285,in-sample
era4tb_A_INH10x_r2,7.0,10.0,2.0,1,,0.972173377322796,0.19275067794294243,-0.5841930326392102,0.38140868766355285,in-sample
era4tb_A_INH10x_r2,7.0,10.0,2.0,1,,0.972173377322796,0.19275067794294243,-0.5841930326392102,0.38140868766355285,in-sample
era4tb_A_INH10x_r2,7.0,2.5,2.6020599913279625,1,,0.9927299847984045,0.19275067794294243,-0.5841930326392102,0.38140868766355285,in-sample
era4tb_A_INH10x_r2,10.0,100.0,1.0,1,,0.832570576943267,0.10550132477351415,-0.6949597213237257,0.3749514322410689,in-sample
era4tb_A_INH10x_r2,10.0,10.0,2.0,1,,0.977364668656279,0.10550132477351415,-0.6949597213237257,0.3749514322410689,in-sample
era4tb_A_INH10x_r2,10.0,10.0,2.0,1,,0.977364668656279,0.10550132477351415,-0.6949597213237257,0.3749514322410689,in-sample
era4tb_A_INH10x_r2,10.0,2.5,2.6020599913279625,1,,0.9941147946747153,0.10550132477351415,-0.6949597213237257,0.3749514322410689,in-sample
era4tb_A_INH10x_r2,14.0,100.0,1.0,1,,0.856919446760148,-0.1955579263084557,-0.8164681444820232,0.4272202525045826,in-sample
era4tb_A_INH10x_r2,14.0,10.0,2.0,1,,0.9801990248360296,-0.1955579263084557,-0.8164681444820232,0.4272202525045826,in-sample
era4tb_A_INH10x_r2,14.0,10.0,2.0,1,,0.9801990248360296,-0.1955579263084557,-0.8164681444820232,0.4272202525045826,in-sample
era4tb_A_INH10x_r2,14.0,2.5,2.6020599913279625,1,,0.9948225156615993,-0.1955579263084557,-0.8164681444820232,0.4272202525045826,in-sample
era4tb_A_INH10x_r2,21.0,100.0,1.0,1,,0.6841965624362117,0.4487973817996984,-1.0853737614349594,1.5207932742420458,in-sample
era4tb_A_INH10x_r2,21.0,10.0,2.0,1,,0.9156664554751711,0.4487973817996984,-1.0853737614349594,1.5207932742420458,in-sample
era4tb_A_INH10x_r2,21.0,10.0,2.0,1,,0.9156664554751711,0.4487973817996984,-1.0853737614349594,1.5207932742420458,in-sample
era4tb_A_INH10x_r2,21.0,2.5,2.6020599913279625,1,,0.9723158410970693,0.4487973817996984,-1.0853737614349594,1.5207932742420458,in-sample
